expression,reading,meaning,tags
現像,げんぞう,developing film,n1
原則,げんそく,"principle, general rule",n1
見地,けんち,point of view,n1
現地,げんち,"actual place, local",n1
限定,げんてい,"limit, restriction",n1
原点,げんてん,"origin coordinates, starting point",n1
原典,げんてん,"original, source",n1
原爆,げんばく,atomic bomb,n1
原文,げんぶん,"the text, original",n1
厳密,げんみつ,"strict, close",n1
賢明,けんめい,"wisdom, intelligence, prudence",n1
倹約,けんやく,"thrift, economy, frugality",n1
原油,げんゆ,crude oil,n1
兼用,けんよう,"multiuse, combined use",n1
権力,けんりょく,"political power, authority, influence",n1
言論,げんろん,"discussion, speech",n1
故～,こ,"deceased, late",n1
語彙,ごい,"vocabulary, glossary",n1
恋する,こいする,"to fall in love with, to love",n1
甲,こう,1st in rank shell,n1
～光,こう,light,n1
好意,こうい,"good will, favor, courtesy",n1
行為,こうい,"act, deed, conduct",n1
合意,ごうい,"agreement, consent, mutual understanding",n1
工学,こうがく,engineering,n1
抗議,こうぎ,"protest, objection",n1
合議,ごうぎ,"consultation, conference",n1
皇居,こうきょ,Imperial Palace,n1
好況,こうきょう,"prosperous conditions, healthy economy",n1
鉱業,こうぎょう,mining industry,n1
興業,こうぎょう,starting a business industry,n1
高原,こうげん,"tableland, plateau",n1
交互,こうご,"mutual, reciprocal, alternate",n1
煌々と,こうこうと,brightly,n1
考古学,こうこがく,archeology,n1
工作,こうさく,"handicraft, maneuvering",n1
耕作,こうさく,"cultivation, farming",n1
鉱山,こうざん,mine,n1
講習,こうしゅう,"short course, training",n1
口述,こうじゅつ,verbal statement,n1
控除,こうじょ,"subsidy, deduction",n1
交渉,こうしょう,negotiation,n1
高尚,こうしょう,"high, noble, refined",n1
向上,こうじょう,"rise, improvement, progress",n1
行進,こうしん,"march, parade",n1
香辛料,こうしんりょう,spices,n1
降水,こうすい,"rainfall, precipitation",n1
洪水,こうずい,flood,n1
合成,ごうせい,"synthetic, mixed",n1
公然,こうぜん,openly,n1
抗争,こうそう,"dispute, resistance",n1
構想,こうそう,"plan, plot, idea, conception",n1
後退,こうたい,"retreat, backspace",n1
光沢,こうたく,"luster, glossy finish of photographs",n1
公団,こうだん,public corporation,n1
好調,こうちょう,"satisfactory, in good shape",n1
口頭,こうとう,oral,n1
講読,こうどく,reading,n1
購読,こうどく,subscription,n1
購入,こうにゅう,"purchase, buy",n1
公認,こうにん,"official recognition, authorization",n1
光熱費,こうねつひ,cost of fuel and light,n1
購買,こうばい,"purchase, buy",n1
好評,こうひょう,"popularity, favorable reputation",n1
交付,こうふ,"delivering, furnishing with copies",n1
公募,こうぼ,"public appeal, public contribution",n1
巧妙,こうみょう,"ingenious, skillful, clever",n1
公用,こうよう,"government business, public use, public expense",n1
小売,こうり,retail,n1
効率,こうりつ,efficiency,n1
公立,こうりつ,public institution,n1
護衛,ごえい,"guard, convoy, escort",n1
小柄,こがら,"small, diminutive",n1
小切手,こぎって,"cheque, check",n1
国産,こくさん,domestic products,n1
国定,こくてい,"statesponsored, national",n1
告白,こくはく,"confession, acknowledgment",n1
国防,こくぼう,national defense,n1
国有,こくゆう,national ownership,n1
極楽,ごくらく,paradise,n1
国連,こくれん,"UN, United Nations",n1
焦げ茶,こげちゃ,dark brown,n1
