expression,reading,meaning,tags
作法,さほう,"manners, etiquette, propriety",n3
様々,さまざま,"varied, various",n3
冷ます,さます," cool,  let cool",n3
覚ます,さます, awaken,n3
冷める,さめる," become cool,  wear off",n3
覚める,さめる," wake,  wake up",n3
左右,さゆう,left and right influence,n3
皿,さら,"plate, dish",n3
更に,さらに,"furthermore, moreover",n3
去る,さる," leave,  go away",n3
猿,さる,monkey,n3
騒ぎ,さわぎ,"uproar, disturbance",n3
参加,さんか,participation,n3
参考,さんこう,"reference, consultation",n3
賛成,さんせい,"approval, agreement",n3
酸性,さんせい,acidity,n3
酸素,さんそ,oxygen,n3
氏,し,"family name, lineage",n3
詩,し,poem poetry,n3
幸せ,しあわせ,"happiness, blessing",n3
ジェット機,ジェットき,jet plane,n3
四角,しかく,square,n3
直に,じかに,"immediately, readily, directly",n3
四季,しき,four seasons,n3
直,じき,"immediately, soon, shortly",n3
時期,じき,"time, season, period",n3
支給,しきゅう,"payment, allowance",n3
至急,しきゅう,"urgent, pressing",n3
刺激,しげき,"stimulus, impetus, incentive",n3
資源,しげん,resources,n3
事件,じけん,"event, affair, incident",n3
時刻,じこく,"time, hour",n3
自殺,じさつ,suicide,n3
事実,じじつ,"fact, truth, reality",n3
支出,ししゅつ,"expenditure, expenses",n3
事情,じじょう,"circumstances, situation, reasons",n3
詩人,しじん,poet,n3
自身,じしん,oneself,n3
沈む,しずむ, sink  feel depressed,n3
自然,しぜん,"nature, spontaneous",n3
思想,しそう,"thought, idea",n3
舌,した,tongue,n3
次第,しだい,order circumstances immediately,n3
従う,したがう," abide by the rules,  obey",n3
親しい,したしい,"intimate, close , friend",n3
質,しつ,"quality, nature of person",n3
失業,しつぎょう,unemployment,n3
湿気,しっけ,"moisture, humidity, dampness",n3
実験,じっけん,lab work experiment,n3
実現,じつげん,"implementation, materialization, realization",n3
実行,じっこう,"practice, execution , program, realization",n3
実際,じっさい,in fact in actuality,n3
実施,じっし,"enforcement, carry out, operation",n3
湿度,しつど,humidity,n3
実に,じつに,"indeed, truly, surely",n3
実は,じつは,actually in fact,n3
失望,しつぼう,"disappointment, despair",n3
実力,じつりょく,ability force,n3
支店,してん,branch store office,n3
指導,しどう,"leadership, guidance, coaching",n3
自動,じどう,"automatic, selfmotion",n3
児童,じどう,"children, juvenile",n3
品,しな,"thing, article, goods",n3
支配,しはい,"rule, control, direction",n3
芝居,しばい,"play, drama",n3
芝生,しばふ,lawn,n3
支払,しはらい,payment,n3
支払う,しはらう, pay,n3
死亡,しぼう,death,n3
資本,しほん,"funds, capital",n3
姉妹,しまい,sisters,n3
自慢,じまん,"pride, boast",n3
地味,じみ,"quiet, plain, conservative",n3
示す,しめす," show,  indicate",n3
占める,しめる, take up  account for,n3
湿る,しめる," be wet,  be damp",n3
下,しも,"under, below, beneath",n3
霜,しも,frost,n3
借金,しゃっきん,"debt, loan, liabilities",n3
週,しゅう,week,n3
州,しゅう,"state, province",n3
銃,じゅう,gun,n3
周囲,しゅうい,"surroundings, circumference, environs",n3
収穫,しゅうかく,"harvest, crop, ingathering",n3
宗教,しゅうきょう,religion,n3
重視,じゅうし,"importance, stress",n3
就職,しゅうしょく,finding employment,n3
修正,しゅうせい,"amendment, correction",n3
重体,じゅうたい,"seriously ill, critical state",n3
渋滞,じゅうたい,"congestion , traffic, delay",n3
